userId,logDate,deviceSleepLogCount,deviceSleepDurationInMin
6166310,2025-11-26,1,345
6166310,2025-11-27,1,420
6166310,2025-11-28,1,355
6166310,2025-11-29,1,426
6166310,2025-11-30,1,433
6166310,2025-12-01,1,412
6166310,2025-12-02,1,354
6166310,2025-12-03,1,415
6166310,2025-12-04,1,423
6166310,2025-12-05,1,379
6166310,2025-12-06,1,303
6166310,2025-12-07,1,400
6166310,2025-12-08,1,418
6166310,2025-12-09,1,365
6166310,2025-12-10,1,375
6166310,2025-12-11,1,340
6166310,2025-12-12,1,391
6166310,2025-12-13,1,361
6166310,2025-12-14,1,348
6166310,2025-12-15,1,395
6166310,2025-12-16,1,417
6166310,2025-12-17,1,376
6166483,2025-11-25,1,394
6166483,2025-11-28,1,300
6166483,2025-11-30,1,428
6166483,2025-12-03,1,513
6166483,2025-12-05,1,555
6166483,2025-12-06,1,386
6166483,2025-12-07,1,406
6166483,2025-12-09,1,474
6166483,2025-12-10,1,638
6166483,2025-12-11,1,373
6166483,2025-12-12,1,550
6166483,2025-12-14,1,549
6166483,2025-12-15,1,525
6166483,2025-12-17,1,318
